id;course_name;course_cost;duration;seats;notes
1;Dollar Peru Innovative;55474;43828;68229;Specialist yellow
2;Soft;24984;72728;5464;Sausages
3;recontextualize navigate;31976;11021;99168;Configuration
4;deposit systems compressing;14431;56587;5863;Architect users supply-chains
5;Toys;32744;83938;48700;Legacy
6;EXE;99111;11534;8976;Concrete Table Gorgeous
7;Gorgeous bandwidth;94422;68729;79000;Games Kids Burundi
8;Stravenue invoice;66742;42320;51122;Bhutan Optimized payment
9;FTP;61001;51481;4319;Car
10;withdrawal;86330;64311;32124;motivating Customer primary
